cad_id,keyword,layer,entity,text,x,y
osen_south_t5,入口,建筑,MTEXT,南入口 管理用房,503084.180577385,315970.9304625636
osen_south_t5,2A03,建筑,MTEXT,2A03 管理用房,503738.8591927562,316498.699311272
osen_south_t5,露天剧场,bj03,TEXT,露天剧场,502999.8587833552,315993.8076173764
osen_south_t5,廉洁,bj03,TEXT,廉洁馆,502510.4298138487,316949.694812005
osen_south_t5,南门,bj03,TEXT,公园南门,503001.4105558851,315782.9458583857
osen_south_t5,入口,0,MTEXT,南入口 管理用房,503084.180577385,312923.6447615123
osen_south_t5,2A03,0,MTEXT,2A03 管理用房,503738.8591927562,313451.4136102207
