source_file,unit_type,unit_index,pymupdf_table_count,table_like_score,numeric_count,percent_count,currency_count,snippet
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,17,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 首都医科大学附属北京潞河 医院 4834 2 通州区妇幼保健院 4737 3 北京友谊医院(通州院区) 4378 4 首都医科大学附属北京同仁 医院 4363 5 北京协和医院(东院) 4314 6 首都儿科研究所附属儿童医 院 4189 7 北京友谊医院(西城院区) 4180 8 首都医科大学附属北京儿童 医院 41
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,18,1,16,62,0,18,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 京伦饭店 4225 酒店起价677元 2 北京万隆宾馆 4225 酒店起价140元 3 北京天元商务酒店(通州果园 地铁站店) 4151 酒店起价174元 4 北京崇文门饭店 4150 酒店起价461元 5 速8酒店(北京通州梨园云景里 店) 4101 酒店起价192元 6 北京将台酒店 4078 酒店起价288元 7
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,19,1,16,43,0,2,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 城市绿心森林公园 5572 景区级别其他 2 北京奥林匹克公园 5359 景区级别aaaaa 3 北京(通州)大运河文化旅游景 区 5243 景区级别其他 4 长安街 5119 景区级别无 5 奥林匹克森林公园 5041 景区级别aaaaa 6 通州运河公园 4982 景区级别aaa 7 新城滨河森林公园 4972 景
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,20,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 中国国家博物馆 3909 2 全国农业展览馆 3739 3 中国农业博物馆 3652 4 中国国际展览中心(顺义馆) 3630 5 中国电影博物馆 3596 6 北京展览馆 3549 7 北京汽车博物馆 3502 8 中华民族博物院(南园) 3500 9 中国民兵武器装备陈列馆 3418 10 中国铁道博物馆(正阳门馆
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,21,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 中国传媒大学 4905 2 中国人民大学(东校区) 4853 3 北京大学 4838 4 北京科技大学 4785 5 北京联合大学 4680 6 北京外国语大学 4629 7 北京航空航天大学 4618 8 北京理工大学 4587 9 清华大学 4579 10 北京工业大学 4491 11 北京化工大学(东校区) 44
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,22,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 北京银行(总行营业部) 4140 2 中国工商银行(北京长椿街支 行) 3982 3 中国工商银行(北京大望路支 行) 3968 4 南京银行(北京分行营业部) 3797 5 北京银行(华安支行) 3783 6 中国农业银行(银街支行) 3780 7 平安银行(北京东三环支行) 3773 8 北京银行(国际新城支行) 
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,23,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 北京首都国际机场 5287 2 北京南站 5111 3 北京大兴国际机场 5026 4 北京西站 4883 5 北京朝阳站 4786 6 北京首都国际机场t3航站楼 4727 7 北京首都国际机场t3航站楼c 区 4688 8 北京丰台站 4556 9 清河站 4555 10 收费站(出口方向) 4421 11 北京首
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,24,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 中国(北京)自由贸易试验区国 际商务服务片区 6304 2 北京商务中心区(北京cbd) 5941 3 未来科学城 5646 4 中国(北京)自由贸易试验区高 端产业片区 5473 5 中关村 5256 6 太玉园 5252 7 西富河园 5179 8 科技园区 5148 9 环湖小镇 5147 10 时尚街区 514
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,25,1,14,43,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 麦当劳 5084 2 肯德基 4779 3 必胜客 4607 4 聚点串吧 4539 5 南城香 4416 6 奈雪の茶 4255 7 玉林烤鸭店 4245 8 味多美 4242 9 四季民福烤鸭店 4209 10 聚宝源 4208 11 永顺炸鸡 4117 12 旺顺阁鱼头泡饼店 4098 13 北门涮肉 4083 14 丰茂烤串 4075
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,26,1,14,44,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 便利蜂 5544 2 万达广场 5407 3 新华联超市 5188 4 龙湖天街 4883 5 凯德广场 4790 6 大悦城 4729 7 贵友大厦 4600 8 盒马鲜生 4527 9 华联购物中心 4502 10 bhg时尚百货 4485 11 京妮儿童汇 4468 12 北京华联 4423 13 超市发超市 4401 14 苏宁易购 
